BusinessName,Address,Suite,City,State,Zip,BusinessType,OwnerName,X,Y,Location
CASA LA LICIOUS,1367 SAINT ANTHONY AVE,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,CASA LA LICIOUS,,,
CASA PELICAN LLC,712 PELICAN ST,,NEW ORLEANS,LA,70114,4703 - BED & BREAKFAST INNS,CASA PELICAN LLC,,,
HAMPTON INN - ST. CHARLES,3626 SAINT CHARLES AVE,,NEW ORLEANS,LA,70115,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"BRE NOLA PROPERTY OWNER, LLC",,,
HISTORIC STREETCAR INN,1509 SAINT CHARLES AVE,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"1509 ST. CHARLES AVE, LLC",,,
JELLY ROLL SUITES,320 ANDREW HIGGINS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"VENTURE CCR OF N O,LLC",,,
MOTEL 6,12330 I-10 E SERVICE RD,,NEW ORLEANS,LA,70128,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,G6 HOSPITALITY PROPERTY LLC,,,
PIERRE COULON GUEST HOUSE,712-14 SPAIN ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,CULTURAL EXCHANGE SVCS  LLC,,,
RODEWAY INN & SUITES,8400 I 10 SERVICE RD,,NEW ORLEANS,LA,70127,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,NEW STAR HOTEL MANAGEMENT LLC,,,
STUDIO 6 #6000,12330 I-10 SERVICE RD,,NEW ORLEANS,LA,70128,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,G6 HOSPITALITY PROPERTY LLC,,,
CHATEAU ESPLANADE,1261 ESPLANADE AVE,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HOTEL STORYVILLE LLC,3682245.887,535893.628,"(29.9674989960424, -90.0655622825085)"
HG NEW ORLEANS CONVENTION CENTER,1001 S PETERS ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"INTERSTATE MANAGEMENT COMPANY, LLC.",3682223.617,526508.9569,"(29.9416950126385, -90.0659604150431)"
LOOKOUT INN NEW ORLEANS,833 POLAND AVE,,NEW ORLEANS,LA,70117,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,LOOKOUT INN NEW ORLEANS LLC,3692887.862,534089.6922,"(29.9622107611043, -90.0320195529497)"
ACE HOTEL,600 CARONDELET ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,ACE GROUP NEW ORLEANS LLC,3680235.169,528927.0085,"(29.9484041719003, -90.0721543198545)"
MONTE CARLO MOTEL,6061 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70125,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,SAILAXMI LLC,3697070.179,551822.8514,"(30.0108392155705, -90.0181697510768)"
A CREOLE COTTAGE,1827 DAUPHINE ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,"EASLEY, MADISON",3683897.139,535260.476,"(29.9657077081588, -90.0603698167966)"
AULD SWEET OLIVE,2460 N RAMPART ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,"OLIVE BLOSSOM, LLC",3686348.364,536018.4013,"(29.967716633652, -90.0526022013441)"
WYNDHAM NEW ORLEANS,124 ROYAL ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"BHR LODGING TENANT CO - POYDRAS PARTNERS, LLC",3681355.494,530845.4795,"(29.9536453665486, -90.0685501287426)"
THE QUEEN ANNE HOTEL,1625 PRYTANIA ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"PRYTANIA PARK HOTEL, LTD",3679316.965,524838.3971,"(29.9371896068797, -90.0751952175749)"
QUEEN & CRESCENT HOTEL,344 CAMP ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"EHQ&C LIQUOR,LLC",3681226.951,529538.2479,"(29.9500548215129, -90.0690015589368)"
TIRC HOTEL,1924 ST ANN ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"CHEVALIER, ELAINE",3679194.523,535415.3769,"(29.9662764461849, -90.0752151324154)"
GRENOBLE HOUSE,329 DAUPHINE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,GRENOBLE HOUSE LTD,3681150.038,531976.4869,"(29.9567614880811, -90.0691594706169)"
1851 INN ON ST CHARLES,2409 ST CHARLES AVE,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,PAULA R GEORGE,3676820.874,523210.9717,"(29.932789844734, -90.0831315906279)"
RIVER HOUSE NEW ORLEANS,625 MARIGNY ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,"RIVER HOUSE NEW ORLEANS, LLC",3685577.739,534770.9807,"(29.9643103210079, -90.0550797965532)"
THE TREME INN,1100 N PRIEUR ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"FOUCHA INVESTMENTS, LLC",3679901.365,536472.3356,"(29.9691613613754, -90.0729462247849)"
NEW ORLEANS INN,5035 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126-5017,"4704 - TRAVELER ACCOMMODATION, ALL OTH","CHANDRAKANT, B PATEL    NAYAN B, PATEL",3693062.234,550655.1836,"(30.0077544419487, -90.0308742991757)"
BIENVILLE HOUSE MOTOR HOTEL,320 DECATUR ST,A,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"NEW HOTEL MONTELEONE,LLC",3682413.313,530959.8202,"(29.9539276166384, -90.0652059852819)"
PARKS BOWMAN HOUSE,2705 CHESTNUT ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,PARKS BOWMAN ADRIENNE,3676826.399,521633.2427,"(29.9284514385653, -90.0831684927405)"
ANTEBELLUM GUEST HOUSE,1333 ESPLANADE AVE,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,"TEACHOUT,KEITH E II",3681977.051,536105.1721,"(29.9680888453114, -90.0664038833073)"
THE BEE HOUSE,1028 PORT ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,THE BEE HOUSE LLC,3687336.897,536206.3215,"(29.9682029305198, -90.0494737472103)"
"SUPERIOR RESTAURANT GROUP, LLC",3636 SAINT CHARLES AVE,,NEW ORLEANS,LA,70115,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,BEST WESTERN PLUS ST. CHARLES INN,3673311.794,521063.4564,"(29.9269896805502, -90.0942828128379)"
THE DUCHESS,833 6TH ST,,NEW ORLEANS,LA,70115,4703 - BED & BREAKFAST INNS,JUANITA L JACKSON,3677121.647,519877.746,"(29.9236155313316, -90.0822969630205)"
THE ROOSEVELT HOTEL WAC,123 BARONNE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"FCH SUB-TENANT, LLC",3680371.079,530940.8374,"(29.9539374097094, -90.071655182224)"
HOLIDAY INN EXPRESS,7049 BULLARD AVE,,NEW ORLEANS,LA,70128,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,LAKSHMI LLC,3714667.986,565718.7197,"(30.0484801958181, -89.9620466020469)"
MONROSE ROW B & B,1303 GOVERNOR NICHOLLS ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,1303 B & B LTD,3681943.568,535386.7487,"(29.9661144460927, -90.0665347067278)"
